2018-07-09 16:02:41,898 [DefaultQuickPulseCoordinator] INFO  RetryExec -  - I/O exception (java.net.SocketException) caught when processing request to {s}->https://rt.services.visualstudio.com:443: Socket operation on nonsocket: connect
2018-07-09 16:02:41,902 [DefaultQuickPulseCoordinator] INFO  RetryExec -  - Retrying request to {s}->https://rt.services.visualstudio.com:443
2018-07-09 16:05:58,698 [DefaultQuickPulseCoordinator] INFO  RetryExec -  - I/O exception (java.net.SocketException) caught when processing request to {s}->https://rt.services.visualstudio.com:443: Socket operation on nonsocket: connect
2018-07-09 16:05:58,700 [DefaultQuickPulseCoordinator] INFO  RetryExec -  - Retrying request to {s}->https://rt.services.visualstudio.com:443
ns from ServletContext resource [/WEB-INF/spring-REST-servlet.xml]
2018-07-09 16:02:04,239 - INFO  - [XmlBeanDefinitionReader:317] - Loading XML bean definitions from ServletContext resource [/WEB-INF/spring-REST-servlet.xml]
2018-07-09 16:02:05,142 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/access-points/edit],methods=[PUT],produces=[application/json]}" onto public wifi4eu.wifi4eu.common.dto.rest.ResponseDTO wifi4eu.wifi4eu.web.rest.AccessPointResource.editBeneficiaryDisplayedListDTO(wifi4eu.wifi4eu.entity.access_point.AccessPoint)
2018-07-09 16:02:05,142 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/access-points/edit],methods=[PUT],produces=[application/json]}" onto public wifi4eu.wifi4eu.common.dto.rest.ResponseDTO wifi4eu.wifi4eu.web.rest.AccessPointResource.editBeneficiaryDisplayedListDTO(wifi4eu.wifi4eu.entity.access_point.AccessPoint)
2018-07-09 16:02:05,157 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/validate],methods=[POST]}" onto public wifi4eu.wifi4eu.common.dto.rest.ResponseDTO wifi4eu.wifi4eu.web.rest.ApplicationResource.validateApplication(wifi4eu.wifi4eu.common.dto.model.ApplicationDTO,javax.servlet.http.HttpServletResponse,javax.servlet.http.HttpServletRequest) throws java.io.IOException
2018-07-09 16:02:05,157 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/validate],methods=[POST]}" onto public wifi4eu.wifi4eu.common.dto.rest.ResponseDTO wifi4eu.wifi4eu.web.rest.ApplicationResource.validateApplication(wifi4eu.wifi4eu.common.dto.model.ApplicationDTO,javax.servlet.http.HttpServletResponse,javax.servlet.http.HttpServletRequest) throws java.io.IOException
2018-07-09 16:02:05,157 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/call/{callId}/registration/{registrationId}],methods=[GET],produces=[application/json]}" onto public wifi4eu.wifi4eu.common.dto.model.ApplicationDTO wifi4eu.wifi4eu.web.rest.ApplicationResource.getApplicationByCallIdAndRegistrationId(java.lang.Integer,java.lang.Integer,javax.servlet.http.HttpServletResponse) throws java.io.IOException
2018-07-09 16:02:05,157 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/call/{callId}/registration/{registrationId}],methods=[GET],produces=[application/json]}" onto public wifi4eu.wifi4eu.common.dto.model.ApplicationDTO wifi4eu.wifi4eu.web.rest.ApplicationResource.getApplicationByCallIdAndRegistrationId(java.lang.Integer,java.lang.Integer,javax.servlet.http.HttpServletResponse) throws java.io.IOException
2018-07-09 16:02:05,157 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/reject],methods=[POST]}" onto public wifi4eu.wifi4eu.common.dto.rest.ResponseDTO wifi4eu.wifi4eu.web.rest.ApplicationResource.rejectApplicationVoucherAssigment(java.lang.Integer,javax.servlet.http.HttpServletResponse) throws java.io.IOException
2018-07-09 16:02:05,157 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/reject],methods=[POST]}" onto public wifi4eu.wifi4eu.common.dto.rest.ResponseDTO wifi4eu.wifi4eu.web.rest.ApplicationResource.rejectApplicationVoucherAssigment(java.lang.Integer,javax.servlet.http.HttpServletResponse) throws java.io.IOException
2018-07-09 16:02:05,157 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/checkIfCorrectionRequestEmailIsAvailable],methods=[POST]}" onto public boolean wifi4eu.wifi4eu.web.rest.ApplicationResource.checkIfCorrectionRequestEmailIsAvailable(java.lang.Integer,javax.servlet.http.HttpServletResponse) throws java.io.IOException
2018-07-09 16:02:05,157 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/checkIfCorrectionRequestEmailIsAvailable],methods=[POST]}" onto public boolean wifi4eu.wifi4eu.web.rest.ApplicationResource.checkIfCorrectionRequestEmailIsAvailable(java.lang.Integer,javax.servlet.http.HttpServletResponse) throws java.io.IOException
2018-07-09 16:02:05,157 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/select],methods=[POST]}" onto public wifi4eu.wifi4eu.common.dto.rest.ResponseDTO wifi4eu.wifi4eu.web.rest.ApplicationResource.selectApplicationVoucherAssigment(java.lang.Integer,javax.servlet.http.HttpServletResponse) throws java.io.IOException
2018-07-09 16:02:05,157 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/select],methods=[POST]}" onto public wifi4eu.wifi4eu.common.dto.rest.ResponseDTO wifi4eu.wifi4eu.web.rest.ApplicationResource.selectApplicationVoucherAssigment(java.lang.Integer,javax.servlet.http.HttpServletResponse) throws java.io.IOException
2018-07-09 16:02:05,157 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/findDgconnApplicantsListByCallIdSearchingName/{callId}],methods=[POST]}" onto public wifi4eu.wifi4eu.common.dto.rest.ResponseDTO wifi4eu.wifi4eu.web.rest.ApplicationResource.findDgconnApplicantsListByCallIdSearchingName(java.lang.Integer,java.lang.String,java.lang.String,wifi4eu.wifi4eu.common.dto.model.PagingSortingDTO,javax.servlet.http.HttpServletResponse) throws java.io.IOException
2018-07-09 16:02:05,157 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/findDgconnApplicantsListByCallIdSearchingName/{callId}],methods=[POST]}" onto public wifi4eu.wifi4eu.common.dto.rest.ResponseDTO wifi4eu.wifi4eu.web.rest.ApplicationResource.findDgconnApplicantsListByCallIdSearchingName(java.lang.Integer,java.lang.String,java.lang.String,wifi4eu.wifi4eu.common.dto.model.PagingSortingDTO,javax.servlet.http.HttpServletResponse) throws java.io.IOException
